month,employed_junior,employed_mid,employed_senior,employed_total,unemployed,junior_hires,hires_total,vacancies_posted,grads,layoffs,exits,ai_task_share,adoption,n_firms,manager_seats,unit_cost_rel,wage_junior,wage_mid,wage_senior,senior_premium,elasticity,junior_hires_per_senior,employed_junior_vs_cf,employed_total_vs_cf,variant,seed
9,2139,1429,844,4412,385,33,66,66,12,59,2,0.00020932326957391725,0.1083928596775254,150,678,1.000727379457768,5785.229544057012,9166.666666666666,12500.0,2.1606748539201637,2.0,0.4805687203791469,1.0190566936636494,1.0170585523282618,regime_tighten,0
10,2101,1408,834,4343,462,27,64,64,11,131,1,0.00024698841052750534,0.11423900134710095,149,668,0.9997695484147326,5769.929605584739,9166.666666666666,12500.0,2.1664042465788835,2.0,0.4774362328319162,1.0019074868860276,1.0011526048870447,regime_tighten,0
11,2102,1415,835,4352,459,31,65,65,10,54,2,0.0002923457693869484,0.12075857968573096,149,668,0.998782689671512,5753.965579863981,9166.666666666666,12500.0,2.172414802713417,2.0,0.474251497005988,1.0169327527818093,1.021116846550915,regime_tighten,0
12,2123,1427,849,4399,418,47,96,96,10,49,4,0.00034436009423065116,0.12701491527090528,149,671,0.9978906442270825,5739.912398439545,9166.666666666666,12500.0,2.1777335841219903,2.0,0.48881036513545345,1.0211640211640212,1.020886516593177,regime_tighten,0
13,2130,1423,842,4395,423,34,63,63,10,64,6,0.0003983079472381914,0.13116814916909925,150,670,0.9970455705393959,5726.204302981846,9166.666666666666,12500.0,2.1829469118820626,2.0,0.4857482185273159,1.0147689375893283,1.0168903285515964,regime_tighten,0
14,2091,1404,829,4324,498,23,51,51,10,121,5,0.0004710890584896189,0.1384959353006112,149,653,0.9958689900649252,5707.455488566035,9166.666666666666,12500.0,2.1901178248418636,2.0,0.48492159227985526,0.982151244715829,0.9818346957311535,regime_tighten,0
15,2093,1402,828,4323,500,33,66,66,9,64,5,0.0005516542000837992,0.14477508875752912,149,649,0.9946653601212795,5688.4042673918075,9166.666666666666,12500.0,2.1974528202320225,2.0,0.4927536231884058,0.9771241830065359,0.9778330694413029,regime_tighten,0
16,2100,1407,833,4340,484,38,71,71,9,53,7,0.0006466261447640941,0.15147942882338067,149,646,0.9934818384800518,5669.93085027588,9166.666666666666,12500.0,2.2046124247514927,2.0,0.48139255702280914,0.9731232622798888,0.9744050291872475,regime_tighten,0
17,2100,1408,836,4344,479,35,70,70,9,63,7,0.0007422422937172099,0.1552078207794588,150,645,0.9922922477533004,5651.3201903491,9166.666666666666,12500.0,2.211872549947986,2.0,0.47607655502392343,0.9762900976290098,0.9788192879675529,regime_tighten,0
18,2096,1410,826,4332,487,27,60,60,9,67,8,0.0008711373476763765,0.1626038247765709,149,647,0.9910483371214974,5632.114890840434,9166.666666666666,12500.0,2.2194149519799176,2.0,0.4854721549636804,0.9789817842129845,0.9812004530011325,regime_tighten,0
19,2108,1403,831,4342,477,36,72,72,9,60,7,0.0010132027860716706,0.1688268495518328,149,644,0.989806138415214,5613.956806143666,9166.666666666666,12500.0,2.226593547410367,2.0,0.48495788206979545,0.9882794186591655,0.9856980703745744,regime_tighten,0
