anchor,eps,seed,month,junior,total
0.25,1.0,0,72,0.7359676695105523,0.8396000869376222
0.25,1.0,0,78,0.6924107142857143,0.83423384482386
0.25,1.0,0,84,0.6569244604316546,0.8210159145410943
0.25,1.0,0,90,0.6267702147099132,0.8036227081952728
0.25,1.0,0,96,0.6133085155886459,0.8033340842532102
0.25,1.0,0,102,0.6215400100654253,0.831140350877193
0.25,1.0,0,108,0.6316316316316316,0.8478313544947904
0.25,1.0,0,114,0.6559304703476483,0.8818450912678836
0.25,1.0,0,120,0.6337123084527929,0.8634730538922155
0.25,1.0,0,126,0.6704486848891181,0.9159391369418808
0.25,1.0,0,132,0.6956072351421189,0.943127962085308
0.25,1.0,0,138,0.7042900919305414,0.9658077304261645
0.25,1.0,0,144,0.7059708981435022,0.9671372930866602
0.25,1.0,0,150,0.6983016983016983,0.9627479438800194
0.25,1.0,1,0,0.9949238578680203,0.9957446808510638
0.25,1.0,1,6,0.976,0.9783253479352042
0.25,1.0,1,12,0.9924457034938622,0.9920109564026478
0.25,1.0,1,18,0.9721829325789721,0.9689851767388825
0.25,1.0,1,24,0.9789833822091887,0.9775254317482849
0.25,1.0,1,30,0.9799139167862266,0.9761959787381558
0.25,1.0,1,36,0.9689589302769819,0.9683017121702915
0.25,1.0,1,42,1.01123046875,1.0068412361405992
0.25,1.0,1,48,1.005763688760807,1.0092958401115502
0.25,1.0,1,54,1.0096292729898892,1.0232991612301958
0.25,1.0,1,60,0.9648869648869649,1.0048894062863796
0.25,1.0,1,66,0.8931560807483998,0.9801767375208981
0.25,1.0,1,72,0.8259149357072205,0.9641148325358851
0.25,1.0,1,78,0.75,0.9305490380103237
0.25,1.0,1,84,0.6917841516771998,0.8973151201130476
0.25,1.0,1,90,0.6807440925087984,0.9058623206032596
0.25,1.0,1,96,0.6747645017352504,0.9140119760479042
0.25,1.0,1,102,0.6436893203883495,0.8855733082706767
0.25,1.0,1,108,0.6433770014556041,0.8825181371401826
0.25,1.0,1,114,0.6351285783600195,0.8678403755868545
0.25,1.0,1,120,0.6729559748427673,0.924423028151154
0.25,1.0,1,126,0.6761565836298933,0.9293451501723289
0.25,1.0,1,132,0.7052524222335543,0.9645669291338582
0.25,1.0,1,138,0.6984600099354198,0.9552238805970149
0.25,1.0,1,144,0.6939676311917606,0.9525504151838672
0.25,1.0,1,150,0.703423967774421,0.9666504381694255
0.25,1.25,0,0,1.0,1.0017997750281216
0.25,1.25,0,6,0.9943846513804399,0.9993183367416496
0.25,1.25,0,12,1.0360750360750361,1.0334184265490833
0.25,1.25,0,18,0.9934609995329285,0.9961494903737259
0.25,1.25,0,24,0.9990592662276576,0.9974914481185861
0.25,1.25,0,30,0.9886363636363636,0.9846681922196796
0.25,1.25,0,36,0.9578898658028691,0.9547896150402865
0.25,1.25,0,42,0.9283461018476792,0.9283224400871459
0.25,1.25,0,48,0.9047619047619048,0.9072847682119205
0.25,1.25,0,54,0.9410971223021583,0.9512831665941713
0.25,1.25,0,60,0.9704225352112676,1.0104616784171025
0.25,1.25,0,66,0.9248501613646842,1.010738255033557
0.25,1.25,0,72,0.8576560395150427,0.9986959356661596
0.25,1.25,0,78,0.8214285714285714,1.0086449103090556
0.25,1.25,0,84,0.8160971223021583,1.0483976455199477
0.25,1.25,0,90,0.8259479214253084,1.0861497680583168
0.25,1.25,0,96,0.8138669148441136,1.0921378688893895
0.25,1.25,0,102,0.8802214393558128,1.1939571150097466
0.25,1.25,0,108,0.8463463463463463,1.155076326629513
0.25,1.25,0,114,0.8824130879345603,1.2067094227923039
0.25,1.25,0,120,0.8630746416213544,1.1863473053892215
0.25,1.25,0,126,0.9236719958741619,1.2659017211274632
0.25,1.25,0,132,0.9354005167958657,1.2863556996757297
0.25,1.25,0,138,0.9244126659856997,1.2775024777006938
0.25,1.25,0,144,0.9101856497742097,1.252190847127556
0.25,1.25,0,150,0.922077922077922,1.2677793904208998
0.25,1.25,1,0,0.9912321181356715,0.993952967525196
0.25,1.25,1,6,0.9844705882352941,0.9849418206707734
0.25,1.25,1,12,0.9759206798866855,0.9728372517690025
0.25,1.25,1,18,1.00990099009901,1.0072976054732041
0.25,1.25,1,24,0.9530791788856305,0.9515022474568252
0.25,1.25,1,30,0.937350549976088,0.9355211462907326
0.25,1.25,1,36,0.9245463228271251,0.9252660805182785
0.25,1.25,1,42,0.95263671875,0.9509318235432885
0.25,1.25,1,48,0.9654178674351584,0.9663025795956309
0.25,1.25,1,54,0.9638902262879152,0.978331780055918
0.25,1.25,1,60,0.9547859547859547,0.9937136204889406
0.25,1.25,1,66,0.9364844903988183,1.0257941246716025
0.25,1.25,1,72,0.900593471810089,1.0464114832535885
0.25,1.25,1,78,0.8278210116731517,1.012200844673862
0.25,1.25,1,84,0.7894992707826932,1.0169571361281207
0.25,1.25,1,90,0.8154851684263449,1.0834346874239844
0.25,1.25,1,96,0.8160634605850273,1.0991616766467065
0.25,1.25,1,102,0.7932038834951456,1.0763627819548873
0.25,1.25,1,108,0.8078602620087336,1.0999297917154225
0.25,1.25,1,114,0.8102862688015526,1.1056338028169015
0.25,1.25,1,120,0.8757861635220126,1.1993406036013188
0.25,1.25,1,126,0.871377732587697,1.1939931068439193
0.25,1.25,1,132,0.8918918918918919,1.217273622047244
0.25,1.25,1,138,0.8633879781420765,1.1836783822821377
0.25,1.25,1,144,0.8553212358999509,1.1708185053380782
0.25,1.25,1,150,0.9003021148036254,1.2319863680623175
0.25,1.5,0,0,1.0,1.0
0.25,1.5,0,6,0.9934487599438465,0.994546693933197
0.25,1.5,0,12,1.0187590187590188,1.014620561615224
0.25,1.5,0,18,0.998598785614199,0.9970554926387316
0.25,1.5,0,24,1.0141110065851364,1.0120866590649944
0.25,1.5,0,30,1.0331439393939394,1.031350114416476
0.25,1.5,0,36,1.006478482184174,1.0038048343777977
0.25,1.5,0,42,0.9783686345200541,0.9777777777777777
0.25,1.5,0,48,0.941358024691358,0.9438154240546892
0.25,1.5,0,54,0.9824640287769785,0.9913005654632449
0.25,1.5,0,60,1.0183098591549296,1.0550375255856266
0.25,1.5,0,66,0.9893960350391886,1.080089485458613
0.25,1.5,0,72,0.9254602604400539,1.0738969789176267
0.25,1.5,0,78,0.9026785714285714,1.1028744326777609
0.25,1.5,0,84,0.9046762589928058,1.1539132330499238
0.25,1.5,0,90,0.9159433531292828,1.2016788159929312
0.25,1.5,0,96,0.9367147510469986,1.254111286325749
0.25,1.5,0,102,1.0150981378963262,1.3701267056530215
0.25,1.5,0,108,1.013013013013013,1.3755754785558516
0.25,1.5,0,114,0.967280163599182,1.317464232856438
0.25,1.5,0,120,0.9485912011863569,1.3017964071856287
0.25,1.5,0,126,1.001547189272821,1.3719131953105512
0.25,1.5,0,132,1.028423772609819,1.4050885507607882
0.25,1.5,0,138,0.9862104187946884,1.3555500495540138
0.25,1.5,0,144,0.9894631209232313,1.3624634858812075
0.25,1.5,0,150,1.0014985014985014,1.38388969521045
0.25,1.5,1,0,1.0,1.0
0.25,1.5,1,6,1.0,1.0
0.25,1.5,1,12,1.0,1.0
0.25,1.5,1,18,0.9834983498349835,0.9808437856328392
0.25,1.5,1,24,0.9648093841642229,0.9633309675893068
0.25,1.5,1,30,0.9526542324246772,0.950311994453432
0.25,1.5,1,36,0.9508118433619867,0.9525682554372975
0.25,1.5,1,42,0.98876953125,0.9860816230242981
0.25,1.5,1,48,0.9793467819404419,0.9809435277713223
0.25,1.5,1,54,0.9956668271545498,1.0060577819198508
0.25,1.5,1,60,0.9817219817219818,1.020954598370198
0.25,1.5,1,66,0.999507631708518,1.0921901122522093
0.25,1.5,1,72,0.9861523244312562,1.150956937799043
0.25,1.5,1,78,0.9319066147859922,1.1482871891130924
0.25,1.5,1,84,0.9163830821584832,1.1860574658502119
0.25,1.5,1,90,0.9577677224736049,1.2668450498662125
0.25,1.5,1,96,0.9613287059990084,1.2862275449101797
0.25,1.5,1,102,0.9247572815533981,1.25
0.25,1.5,1,108,0.9611838913148957,1.3007254856073016
0.25,1.5,1,114,0.9616690926734595,1.3183098591549296
0.25,1.5,1,120,1.0775681341719077,1.4742581790514837
0.25,1.5,1,126,1.0630401626842907,1.4571639586410634
0.25,1.5,1,132,1.0785313615502294,1.4729330708661417
0.25,1.5,1,138,1.0765027322404372,1.4749638902262878
0.25,1.5,1,144,1.0877881314369788,1.4892052194543297
0.25,1.5,1,150,1.149043303121853,1.5715676728334955
0.25,1.75,0,0,1.0078922934076138,1.009673790776153
0.25,1.75,0,6,1.0018717828731867,1.0047716428084525
0.25,1.75,0,12,1.000962000962001,1.0009282896263634
0.25,1.75,0,18,0.9967304997664642,0.9961494903737259
0.25,1.75,0,24,1.0009407337723424,1.0
0.25,1.75,0,30,0.9872159090909091,0.9860411899313501
0.25,1.75,0,36,0.9102267468764461,0.9082363473589973
0.25,1.75,0,42,0.9148264984227129,0.9098039215686274
0.25,1.75,0,48,0.8725749559082893,0.8739585558641316
0.25,1.75,0,54,0.908273381294964,0.9153979991300566
0.25,1.75,0,60,0.9798122065727699,1.0179667955424152
0.25,1.75,0,66,0.966804979253112,1.0523489932885906
0.25,1.75,0,72,0.9286035024696901,1.074983699195827
0.25,1.75,0,78,0.89375,1.1132483250486276
0.25,1.75,0,84,0.9060251798561151,1.170045781556573
0.25,1.75,0,90,0.9524897213339424,1.2454163905456153
0.25,1.75,0,96,0.9669613773848301,1.2883532327100697
0.25,1.75,0,102,1.0176144942123804,1.3791423001949317
0.25,1.75,0,108,1.0360360360360361,1.4090138114853406
0.25,1.75,0,114,1.0388548057259714,1.4104588061174148
0.25,1.75,0,120,1.0385565991102323,1.4270658682634731
0.25,1.75,0,126,1.1005673027333678,1.5106011474183088
0.25,1.75,0,132,1.1069767441860465,1.5155899226739835
0.25,1.75,0,138,1.1123595505617978,1.5317145688800793
0.25,1.75,0,144,1.1254390366281988,1.5477117818889972
0.25,1.75,0,150,1.1118881118881119,1.5217706821480406
0.25,1.75,1,0,1.004614674665436,1.005599104143337
0.25,1.75,1,6,1.019764705882353,1.0196212639744466
0.25,1.75,1,12,1.0212464589235128,1.0200867381876284
0.25,1.75,1,18,1.0117868929750118,1.014139110604333
0.25,1.75,1,24,1.0679374389051808,1.0693162999763426
0.25,1.75,1,30,1.0296508847441415,1.0277328403050612
0.25,1.75,1,36,1.0358166189111748,1.040259139287367
0.25,1.75,1,42,1.0439453125,1.0450577966501533
0.25,1.75,1,48,1.0393852065321807,1.039507320474088
0.25,1.75,1,54,1.0731824747231584,1.0880708294501398
0.25,1.75,1,60,1.0764790764790764,1.120139697322468
0.25,1.75,1,66,1.1112752338749385,1.228086935753523
0.25,1.75,1,72,1.0751730959446093,1.2815789473684212
0.25,1.75,1,78,1.046692607003891,1.317221961520413
0.25,1.75,1,84,1.0787554691298007,1.4017899199246349
0.25,1.75,1,90,1.1221719457013575,1.4860131354901485
0.25,1.75,1,96,1.1234506693108577,1.5101796407185628
0.25,1.75,1,102,1.1490291262135923,1.556860902255639
0.25,1.75,1,108,1.1766132945172247,1.5953662532178796
0.25,1.75,1,114,1.1989325570111595,1.63943661971831
0.25,1.75,1,120,1.2877358490566038,1.763124524473751
0.25,1.75,1,126,1.2775800711743772,1.7525849335302806
0.25,1.75,1,132,1.2167261601223864,1.6685531496062993
0.25,1.75,1,138,1.2021857923497268,1.6521425132402503
0.25,1.75,1,144,1.196174595389897,1.6434163701067617
0.25,1.75,1,150,1.2522658610271904,1.7159201557935735
0.25,2.0,0,0,0.9986072423398329,1.001124859392576
0.25,2.0,0,6,0.9990641085634067,1.001136105430584
0.25,2.0,0,12,1.0211640211640212,1.020886516593177
0.25,2.0,0,18,0.9789817842129845,0.9812004530011325
0.25,2.0,0,24,0.977892756349953,0.9765108323831243
