month,employed_junior,employed_mid,employed_senior,employed_total,unemployed,junior_hires,hires_total,vacancies_posted,grads,layoffs,exits,ai_task_share,adoption,n_firms,manager_seats,unit_cost_rel,wage_junior,wage_mid,wage_senior,senior_premium,elasticity,junior_hires_per_senior,employed_junior_vs_cf,employed_mid_vs_cf,employed_senior_vs_cf,employed_total_vs_cf,senior_premium_vs_cf,n_firms_vs_cf,manager_seats_vs_cf,scenario,seed,date
41,2038,1365,813,4216,474,30,69,69,8,50,14,0.025547450546235122,0.40426704773488237,142,561,0.939712107843208,5165.948729444851,9135.849624207158,12500.0,2.4196910683128845,1.0,0.46371463714637146,0.9960899315738025,1.0014673514306676,0.9963235294117647,0.9978698224852071,0.9891202408323683,1.0597014925373134,0.8512898330804249,base,2,2026-06-01
42,2056,1367,820,4243,438,39,75,79,8,47,16,0.028729926894319375,0.4144563312074407,143,559,0.9356813597355148,5148.489022130409,9135.849624207158,12500.0,2.4278967957918627,1.0,0.46707317073170734,1.0,0.9920174165457184,1.0024449877750612,0.9978833490122295,0.9897250275820868,1.0592592592592593,0.8418674698795181,base,2,2026-07-01
43,2054,1370,821,4245,433,39,81,84,9,79,12,0.03285060146443891,0.43286107556753883,142,549,0.930945044105716,5131.056793740125,9135.849624207158,12500.0,2.4361453210282074,1.0,0.48477466504263095,1.0048923679060666,1.0080941869021338,1.001219512195122,1.0052095666587735,0.9901396128830768,1.0676691729323309,0.8305597579425114,base,2,2026-08-01
44,2055,1380,823,4258,426,31,74,75,9,60,2,0.03701513951101886,0.44637168306132086,142,544,0.92618968622543,5113.156474797296,9135.849624207158,12500.0,2.444673864688552,1.0,0.47144592952612396,1.006859382655561,1.0117302052785924,1.0061124694376529,1.0082879469571395,0.9904861479105636,1.0757575757575757,0.8192771084337349,base,2,2026-09-01
45,2064,1380,824,4268,417,31,63,68,8,52,6,0.041373140971029454,0.4575149171941099,143,544,0.9211114481817262,5095.999933237233,9135.849624207158,12500.0,2.4529042707540576,1.0,0.4684466019417476,1.0034030140982013,1.008035062089116,1.0073349633251834,1.0056550424128181,0.9909982184453549,1.0833333333333333,0.8205128205128205,base,2,2026-10-01
46,2061,1381,823,4265,413,26,57,57,8,58,13,0.04657863187925387,0.47326001486262614,143,542,0.9153833088986069,5078.944363924254,9135.849624207158,12500.0,2.461141352283264,1.0,0.4617253948967193,1.000485436893204,0.9978323699421965,1.0048840048840049,1.0004691531785128,0.9915286288812936,1.0751879699248121,0.8077496274217586,base,2,2026-11-01
47,2046,1373,824,4243,427,25,54,57,8,73,13,0.05206580395069306,0.4870141837233068,142,532,0.9094128750774516,5060.815207891101,9135.849624207158,12500.0,2.469957800575155,1.0,0.45145631067961167,1.0029411764705882,1.0058608058608058,1.0185414091470952,1.0068818224964404,0.9918637410062899,1.0757575757575757,0.8,base,2,2026-12-01
48,2050,1379,821,4250,419,31,62,66,8,51,5,0.057946190534711055,0.49995041383652306,143,534,0.9029730483933713,5042.903192507413,9135.849624207158,12500.0,2.4787309061518585,1.0,0.4531059683313033,1.0034263338228095,1.0117388114453412,1.0135802469135802,1.0080645161290323,0.992213710856249,1.0833333333333333,0.800599700149925,base,2,2027-01-01
49,2040,1367,821,4228,441,28,60,61,8,81,7,0.0636820153910747,0.5077530727292182,142,524,0.8966266385695655,5023.921830180336,9135.849624207158,12500.0,2.4880960378221704,1.0,0.4579780755176614,1.0034431874077718,1.0073691967575533,1.014833127317676,1.0069064062872113,0.9926501401219714,1.0757575757575757,0.7903469079939668,base,2,2027-02-01
50,2008,1349,803,4160,501,23,46,46,8,112,14,0.07032358642046044,0.5191263650666044,142,520,0.8892819371216947,5002.203639254849,9135.849624207158,12500.0,2.498898665761248,1.0,0.44831880448318806,0.9891625615763546,0.9948377581120944,0.991358024691358,0.9914204003813155,0.9936172056400415,1.0676691729323309,0.790273556231003,base,2,2027-03-01
